tanggal,komoditi,satuan,harga
2018-08-01,Beras Medium,Kg,10800
2018-08-02,Beras Medium,Kg,10900
2018-08-03,Beras Medium,Kg,10550
2018-08-06,Beras Medium,Kg,10600
2018-08-07,Beras Medium,Kg,10600
2018-08-08,Beras Medium,Kg,10840
2018-08-09,Beras Medium,Kg,10840
2018-08-10,Beras Medium,Kg,10890
2018-08-13,Beras Medium,Kg,10890
2018-08-14,Beras Medium,Kg,10990
2018-08-15,Beras Medium,Kg,10550
2018-08-16,Beras Medium,Kg,10540
2018-08-20,Beras Medium,Kg,10675
2018-08-21,Beras Medium,Kg,10640
2018-08-22,Beras Medium,Kg,10590
2018-08-23,Beras Medium,Kg,10640
2018-08-27,Beras Medium,Kg,10540
2018-08-28,Beras Medium,Kg,10540
2018-08-29,Beras Medium,Kg,10840
2018-08-30,Beras Medium,Kg,10840
2018-08-31,Beras Medium,Kg,10640
2018-08-01,Beras Premium,Kg,12550
2018-08-02,Beras Premium,Kg,12675
2018-08-03,Beras Premium,Kg,12550
2018-08-06,Beras Premium,Kg,12675
2018-08-07,Beras Premium,Kg,12925
2018-08-08,Beras Premium,Kg,12575
2018-08-09,Beras Premium,Kg,12575
2018-08-10,Beras Premium,Kg,12575
2018-08-13,Beras Premium,Kg,12638
2018-08-14,Beras Premium,Kg,12638
2018-08-15,Beras Premium,Kg,12700
2018-08-16,Beras Premium,Kg,12267
2018-08-20,Beras Premium,Kg,12825
2018-08-21,Beras Premium,Kg,12700
2018-08-22,Beras Premium,Kg,12825
2018-08-23,Beras Premium,Kg,12700
2018-08-27,Beras Premium,Kg,12825
2018-08-28,Beras Premium,Kg,12575
2018-08-29,Beras Premium,Kg,12575
2018-08-30,Beras Premium,Kg,12825
2018-08-31,Beras Premium,Kg,12800
2018-08-01,Gula Pasir,Kg,13300
2018-08-02,Gula Pasir,Kg,13100
2018-08-03,Gula Pasir,Kg,12900
2018-08-06,Gula Pasir,Kg,12950
2018-08-07,Gula Pasir,Kg,12950
2018-08-08,Gula Pasir,Kg,12810
2018-08-09,Gula Pasir,Kg,12610
2018-08-10,Gula Pasir,Kg,12560
2018-08-13,Gula Pasir,Kg,12610
2018-08-14,Gula Pasir,Kg,13010
2018-08-15,Gula Pasir,Kg,12960
2018-08-16,Gula Pasir,Kg,13010
2018-08-20,Gula Pasir,Kg,12700
2018-08-21,Gula Pasir,Kg,12860
2018-08-22,Gula Pasir,Kg,12810
2018-08-23,Gula Pasir,Kg,12960
2018-08-27,Gula Pasir,Kg,12810
2018-08-28,Gula Pasir,Kg,12860
2018-08-29,Gula Pasir,Kg,12560
2018-08-30,Gula Pasir,Kg,12560
2018-08-31,Gula Pasir,Kg,12910
2018-08-01,Minyak Goreng Bimoli Botol,Liter,13600
2018-08-02,Minyak Goreng Bimoli Botol,Liter,13600
2018-08-03,Minyak Goreng Bimoli Botol,Liter,13100
2018-08-06,Minyak Goreng Bimoli Botol,Liter,13100
2018-08-07,Minyak Goreng Bimoli Botol,Liter,13500
2018-08-08,Minyak Goreng Bimoli Botol,Liter,13200
2018-08-09,Minyak Goreng Bimoli Botol,Liter,13300
2018-08-10,Minyak Goreng Bimoli Botol,Liter,13200
2018-08-13,Minyak Goreng Bimoli Botol,Liter,13150
2018-08-14,Minyak Goreng Bimoli Botol,Liter,13150
2018-08-15,Minyak Goreng Bimoli Botol,Liter,13700
2018-08-16,Minyak Goreng Bimoli Botol,Liter,13700
2018-08-20,Minyak Goreng Bimoli Botol,Liter,13125
2018-08-21,Minyak Goreng Bimoli Botol,Liter,13500
2018-08-22,Minyak Goreng Bimoli Botol,Liter,13400
2018-08-23,Minyak Goreng Bimoli Botol,Liter,13600
2018-08-27,Minyak Goreng Bimoli Botol,Liter,13500
2018-08-28,Minyak Goreng Bimoli Botol,Liter,13400
2018-08-29,Minyak Goreng Bimoli Botol,Liter,13300
2018-08-30,Minyak Goreng Bimoli Botol,Liter,13250
2018-08-31,Minyak Goreng Bimoli Botol,Liter,13400
2018-08-01,Minyak Goreng Curah,Liter,12290
2018-08-02,Minyak Goreng Curah,Liter,12490
2018-08-03,Minyak Goreng Curah,Liter,12240
2018-08-06,Minyak Goreng Curah,Liter,12140
2018-08-07,Minyak Goreng Curah,Liter,12340
2018-08-08,Minyak Goreng Curah,Liter,12700
2018-08-09,Minyak Goreng Curah,Liter,12600
2018-08-10,Minyak Goreng Curah,Liter,12400
2018-08-13,Minyak Goreng Curah,Liter,12500
2018-08-14,Minyak Goreng Curah,Liter,12400
2018-08-15,Minyak Goreng Curah,Liter,12750
2018-08-16,Minyak Goreng Curah,Liter,12700
2018-08-20,Minyak Goreng Curah,Liter,12625
2018-08-21,Minyak Goreng Curah,Liter,12700
2018-08-22,Minyak Goreng Curah,Liter,12400
2018-08-23,Minyak Goreng Curah,Liter,12700
2018-08-27,Minyak Goreng Curah,Liter,12700
2018-08-28,Minyak Goreng Curah,Liter,12600
2018-08-29,Minyak Goreng Curah,Liter,12500
2018-08-30,Minyak Goreng Curah,Liter,12350
2018-08-31,Minyak Goreng Curah,Liter,12500
2018-08-01,"Daging Sapi, Lokal, Paha Belakang",Kg,117340
2018-08-02,"Daging Sapi, Lokal, Paha Belakang",Kg,117340
2018-08-03,"Daging Sapi, Lokal, Paha Belakang",Kg,117340
2018-08-06,"Daging Sapi, Lokal, Paha Belakang",Kg,117340
2018-08-07,"Daging Sapi, Lokal, Paha Belakang",Kg,117340
2018-08-08,"Daging Sapi, Lokal, Paha Belakang",Kg,116500
2018-08-09,"Daging Sapi, Lokal, Paha Belakang",Kg,116500
2018-08-10,"Daging Sapi, Lokal, Paha Belakang",Kg,117000
2018-08-13,"Daging Sapi, Lokal, Paha Belakang",Kg,117000
2018-08-14,"Daging Sapi, Lokal, Paha Belakang",Kg,117000
2018-08-15,"Daging Sapi, Lokal, Paha Belakang",Kg,117000
2018-08-16,"Daging Sapi, Lokal, Paha Belakang",Kg,117000
2018-08-20,"Daging Sapi, Lokal, Paha Belakang",Kg,117500
2018-08-21,"Daging Sapi, Lokal, Paha Belakang",Kg,118000
2018-08-22,"Daging Sapi, Lokal, Paha Belakang",Kg,118000
2018-08-23,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
