tanggal,komoditi,satuan,harga
2018-04-02,Beras Medium,Kg,11240
2018-04-03,Beras Medium,Kg,11680
2018-04-04,Beras Medium,Kg,10940
2018-04-05,Beras Medium,Kg,11480
2018-04-06,Beras Medium,Kg,11780
2018-04-09,Beras Medium,Kg,11580
2018-04-10,Beras Medium,Kg,10880
2018-04-11,Beras Medium,Kg,11480
2018-04-12,Beras Medium,Kg,11680
2018-04-13,Beras Medium,Kg,11290
2018-04-16,Beras Medium,Kg,11190
2018-04-17,Beras Medium,Kg,11100
2018-04-18,Beras Medium,Kg,11110
2018-04-19,Beras Medium,Kg,10840
2018-04-20,Beras Medium,Kg,10740
2018-04-23,Beras Medium,Kg,10940
2018-04-24,Beras Medium,Kg,10780
2018-04-25,Beras Medium,Kg,10890
2018-04-26,Beras Medium,Kg,10730
2018-04-27,Beras Medium,Kg,10850
2018-04-30,Beras Medium,Kg,10990
2018-04-02,Beras Premium,Kg,13200
2018-04-03,Beras Premium,Kg,12863
2018-04-04,Beras Premium,Kg,12638
2018-04-05,Beras Premium,Kg,12050
2018-04-06,Beras Premium,Kg,12175
2018-04-09,Beras Premium,Kg,12300
2018-04-10,Beras Premium,Kg,12675
2018-04-11,Beras Premium,Kg,13375
2018-04-12,Beras Premium,Kg,13500
2018-04-13,Beras Premium,Kg,12313
2018-04-16,Beras Premium,Kg,12825
2018-04-17,Beras Premium,Kg,12625
2018-04-18,Beras Premium,Kg,12813
2018-04-19,Beras Premium,Kg,12563
2018-04-20,Beras Premium,Kg,12500
2018-04-23,Beras Premium,Kg,13000
2018-04-24,Beras Premium,Kg,12525
2018-04-25,Beras Premium,Kg,12525
2018-04-26,Beras Premium,Kg,12363
2018-04-27,Beras Premium,Kg,12688
2018-04-30,Beras Premium,Kg,13188
2018-04-02,Gula Pasir,Kg,13190
2018-04-03,Gula Pasir,Kg,13500
2018-04-04,Gula Pasir,Kg,13140
2018-04-05,Gula Pasir,Kg,13400
2018-04-06,Gula Pasir,Kg,12860
2018-04-09,Gula Pasir,Kg,12760
2018-04-10,Gula Pasir,Kg,12710
2018-04-11,Gula Pasir,Kg,12910
2018-04-12,Gula Pasir,Kg,12710
2018-04-13,Gula Pasir,Kg,12860
2018-04-16,Gula Pasir,Kg,12940
2018-04-17,Gula Pasir,Kg,12760
2018-04-18,Gula Pasir,Kg,12660
2018-04-19,Gula Pasir,Kg,12960
2018-04-20,Gula Pasir,Kg,12710
2018-04-23,Gula Pasir,Kg,13010
2018-04-24,Gula Pasir,Kg,12800
2018-04-25,Gula Pasir,Kg,12850
2018-04-26,Gula Pasir,Kg,12960
2018-04-27,Gula Pasir,Kg,12710
2018-04-30,Gula Pasir,Kg,12960
2018-04-02,Minyak Goreng Bimoli Botol,Liter,13613
2018-04-03,Minyak Goreng Bimoli Botol,Liter,13325
2018-04-04,Minyak Goreng Bimoli Botol,Liter,13050
2018-04-05,Minyak Goreng Bimoli Botol,Liter,13075
2018-04-06,Minyak Goreng Bimoli Botol,Liter,13060
2018-04-09,Minyak Goreng Bimoli Botol,Liter,13060
2018-04-10,Minyak Goreng Bimoli Botol,Liter,13010
2018-04-11,Minyak Goreng Bimoli Botol,Liter,13340
2018-04-12,Minyak Goreng Bimoli Botol,Liter,13240
