TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
02/01/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
02/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
02/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;118333;;;;;;
02/01/2018;Daging Sapi Lokal Paha Belakang;Kg;117660;;;;;;
02/01/2018;Ikan Teri Asin;Kg;109400;;;;;;
02/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;89167;;;;;;
02/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;70833;;;;;;
02/01/2018;Cabai Rawit Merah;Kg;56240;;;;;;
02/01/2018;Ayam Kampung;ekor;55075;;;;;;
02/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;43667;;;;;;
02/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42000;;;;;;
02/01/2018;Ayam Boiler;ekor;39740;;;;;;
02/01/2018;Cabai Merah Besar;Kg;37260;;;;;;
02/01/2018;Cabai Merah Keriting;Kg;37140;;;;;;
02/01/2018;Ikan Kembung;Kg;36660;;;;;;
02/01/2018;Cabai Rawit Hijau;Kg;34800;;;;;;
02/01/2018;Bawang Putih Impor (Kating);Kg;28560;;;;;;
02/01/2018;Bawang Merah (Medium);Kg;26800;;;;;;
02/01/2018;Telur Ayam Ras;Kg;26150;;;;;;
02/01/2018;Kacang Tanah;Kg;25500;;;;;;
02/01/2018;Bawang Putih Impor (Honan);Kg;25000;;;;;;
02/01/2018;Kacang Hijau;Kg;22340;;;;;;
02/01/2018;Jagung Pipilan Kecil;Kg;16833;;;;;;
02/01/2018;Minyak Goreng Bimoli Botol;Liter;14040;;;;;;
02/01/2018;Gula Pasir;Kg;13740;;;;;;
02/01/2018;Minyak Goreng Curah;Liter;12388;;;;;;
02/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12340;;;;;;
02/01/2018;Kacang Kedelai Eks impor;Kg;12300;;;;;;
02/01/2018;Beras Medium;Kg;11340;;;;;;
02/01/2018;Garam Beryodium Halus;Kg;11260;;;;;;
02/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10300;;;;;;
02/01/2018;Tepung Terigu Segitiga Biru;Kg;10160;;;;;;
02/01/2018;Ketela Pohon;Kg;5060;;;;;;
02/01/2018;Kacang Kedelai Lokal;Kg;3333;;;;;;
02/01/2018;Garam Beryodium Bata;250 gr;3220;;;;;;
02/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2740;;;;;;
02/01/2018;Telur Ayam Kampung;butir;2100;;;;;;
03/01/2018;Daging Sapi Lokal Has Dalam;Kg;141667;;;;;;
03/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
03/01/2018;Daging Sapi Lokal Paha Belakang;Kg;117660;;;;;;
03/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;117500;;;;;;
03/01/2018;Ikan Teri Asin;Kg;108400;;;;;;
03/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;89167;;;;;;
03/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;75000;;;;;;
03/01/2018;Cabai Rawit Merah;Kg;58240;;;;;;
03/01/2018;Ayam Kampung;ekor;55075;;;;;;
03/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;43667;;;;;;
03/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42000;;;;;;
03/01/2018;Ayam Boiler;ekor;38940;;;;;;
03/01/2018;Cabai Merah Keriting;Kg;38640;;;;;;
03/01/2018;Cabai Merah Besar;Kg;37260;;;;;;
03/01/2018;Ikan Kembung;Kg;35660;;;;;;
03/01/2018;Cabai Rawit Hijau;Kg;35300;;;;;;
03/01/2018;Bawang Putih Impor (Kating);Kg;30260;;;;;;
03/01/2018;Bawang Merah (Medium);Kg;27800;;;;;;
03/01/2018;Telur Ayam Ras;Kg;26200;;;;;;
03/01/2018;Kacang Tanah;Kg;25700;;;;;;
03/01/2018;Bawang Putih Impor (Honan);Kg;25000;;;;;;
03/01/2018;Kacang Hijau;Kg;22540;;;;;;
03/01/2018;Jagung Pipilan Kecil;Kg;16833;;;;;;
03/01/2018;Minyak Goreng Bimoli Botol;Liter;14240;;;;;;
03/01/2018;Gula Pasir;Kg;13840;;;;;;
03/01/2018;Minyak Goreng Curah;Liter;12450;;;;;;
03/01/2018;Kacang Kedelai Eks impor;Kg;12300;;;;;;
03/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12240;;;;;;
03/01/2018;Beras Medium;Kg;11440;;;;;;
03/01/2018;Garam Beryodium Halus;Kg;10660;;;;;;
03/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10400;;;;;;
03/01/2018;Tepung Terigu Segitiga Biru;Kg;10360;;;;;;
03/01/2018;Ketela Pohon;Kg;5060;;;;;;
03/01/2018;Kacang Kedelai Lokal;Kg;3333;;;;;;
03/01/2018;Garam Beryodium Bata;250 gr;3320;;;;;;
