TANGGAL,KOMODITI,HARGA
02/01/2018,Beras,11340
02/01/2018,Gula Pasir,13740
02/01/2018,Minyak Goreng Bimoli Botol,14040
02/01/2018,Minyak Goreng Curah,12388
02/01/2018,Daging Sapi, Lokal, Paha Belakang,117660
02/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),118333
02/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),89167
02/01/2018,Daging Sapi, Lokal, Daging, Tetelan,70833
02/01/2018,Daging Sapi, Impor, Beku,120000
02/01/2018,Daging Sapi, Lokal, Has Dalam,143333
02/01/2018,Ayam Boiler,39740
02/01/2018,Ayam Kampung,55075
02/01/2018,Telur Ayam Ras,26150
02/01/2018,Telur Ayam Kampung,2100
02/01/2018,Susu Kental Manis Kaleng Merk Bendera,12340
02/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10300
02/01/2018,Susu Bubuk Kaleng Merk Bendera,43667
02/01/2018,Susu Bubuk Kaleng Merk Indomilk,42000
02/01/2018,Jagung Pipilan Kecil,16833
02/01/2018,Garam Beryodium Bata,3220
02/01/2018,Garam Beryodium Halus,11260
02/01/2018,Tepung Terigu Segitiga Biru,10160
02/01/2018,Kacang Kedelai Eks impor,12300
02/01/2018,Kacang Kedelai Lokal,3333
02/01/2018,Mie Instan Indomie Rasa Kari Ayam,2740
02/01/2018,Cabe Merah Keriting,37140
02/01/2018,Cabe Merah Besar,37260
02/01/2018,Cabe Rawit Merah,56240
02/01/2018,Cabe Rawit Hijau,34800
02/01/2018,Bawang Merah (Medium),26800
02/01/2018,Bawang Putih Impor (Kating),28560
02/01/2018,Bawang Putih Impor (Honan),25000
02/01/2018,Ikan Teri Asin,109400
02/01/2018,Ikan Kembung,36660
02/01/2018,Kacang Hijau,22340
02/01/2018,Kacang Tanah,25500
02/01/2018,Ketela Pohon,5060
03/01/2018,Beras,11440
03/01/2018,Gula Pasir,13840
03/01/2018,Minyak Goreng Bimoli Botol,14240
03/01/2018,Minyak Goreng Curah,12450
03/01/2018,Daging Sapi, Lokal, Paha Belakang,117660
03/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),117500
03/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),89167
03/01/2018,Daging Sapi, Lokal, Daging, Tetelan,75000
03/01/2018,Daging Sapi, Impor, Beku,120000
03/01/2018,Daging Sapi, Lokal, Has Dalam,141667
03/01/2018,Ayam Boiler,38940
03/01/2018,Ayam Kampung,55075
03/01/2018,Telur Ayam Ras,26200
03/01/2018,Telur Ayam Kampung,2150
03/01/2018,Susu Kental Manis Kaleng Merk Bendera,12240
03/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10400
03/01/2018,Susu Bubuk Kaleng Merk Bendera,43667
03/01/2018,Susu Bubuk Kaleng Merk Indomilk,42000
03/01/2018,Jagung Pipilan Kecil,16833
03/01/2018,Garam Beryodium Bata,3320
03/01/2018,Garam Beryodium Halus,10660
03/01/2018,Tepung Terigu Segitiga Biru,10360
03/01/2018,Kacang Kedelai Eks impor,12300
03/01/2018,Kacang Kedelai Lokal,3333
03/01/2018,Mie Instan Indomie Rasa Kari Ayam,2740
03/01/2018,Cabe Merah Keriting,38640
03/01/2018,Cabe Merah Besar,37260
03/01/2018,Cabe Rawit Merah,58240
03/01/2018,Cabe Rawit Hijau,35300
03/01/2018,Bawang Merah (Medium),27800
03/01/2018,Bawang Putih Impor (Kating),30260
03/01/2018,Bawang Putih Impor (Honan),25000
03/01/2018,Ikan Teri Asin,108400
03/01/2018,Ikan Kembung,35660
03/01/2018,Kacang Hijau,22540
03/01/2018,Kacang Tanah,25700
03/01/2018,Ketela Pohon,5060
04/01/2018,Beras,11490
04/01/2018,Gula Pasir,13390
04/01/2018,Minyak Goreng Bimoli Botol,14240
04/01/2018,Minyak Goreng Curah,12575
04/01/2018,Daging Sapi, Lokal, Paha Belakang,117660
04/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),118333
04/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),95000
04/01/2018,Daging Sapi, Lokal, Daging, Tetelan,80000
04/01/2018,Daging Sapi, Impor, Beku,120000
04/01/2018,Daging Sapi, Lokal, Has Dalam,146667
04/01/2018,Ayam Boiler,37440
04/01/2018,Ayam Kampung,53825
04/01/2018,Telur Ayam Ras,26300
04/01/2018,Telur Ayam Kampung,2100
04/01/2018,Susu Kental Manis Kaleng Merk Bendera,11940
04/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10600
04/01/2018,Susu Bubuk Kaleng Merk Bendera,43667
04/01/2018,Susu Bubuk Kaleng Merk Indomilk,42000
04/01/2018,Jagung Pipilan Kecil,16833
04/01/2018,Garam Beryodium Bata,3000
04/01/2018,Garam Beryodium Halus,13060
04/01/2018,Tepung Terigu Segitiga Biru,9860
04/01/2018,Kacang Kedelai Eks impor,12050
04/01/2018,Kacang Kedelai Lokal,3333
04/01/2018,Mie Instan Indomie Rasa Kari Ayam,2740
04/01/2018,Cabe Merah Keriting,39340
04/01/2018,Cabe Merah Besar,39260
04/01/2018,Cabe Rawit Merah,61140
04/01/2018,Cabe Rawit Hijau,41400
04/01/2018,Bawang Merah (Medium),28400
