tanggal,komoditi,satuan,harga
2018-07-02,Beras Medium,Kg,10820
2018-07-03,Beras Medium,Kg,10980
2018-07-04,Beras Medium,Kg,10980
2018-07-05,Beras Medium,Kg,10720
2018-07-06,Beras Medium,Kg,10820
2018-07-09,Beras Medium,Kg,10900
2018-07-10,Beras Medium,Kg,10770
2018-07-11,Beras Medium,Kg,10720
2018-07-12,Beras Medium,Kg,10680
2018-07-13,Beras Medium,Kg,10580
2018-07-16,Beras Medium,Kg,10720
2018-07-17,Beras Medium,Kg,10980
2018-07-18,Beras Medium,Kg,10780
2018-07-19,Beras Medium,Kg,11380
2018-07-20,Beras Medium,Kg,10780
2018-07-23,Beras Medium,Kg,10780
2018-07-24,Beras Medium,Kg,10780
2018-07-25,Beras Medium,Kg,10780
2018-07-26,Beras Medium,Kg,10500
2018-07-27,Beras Medium,Kg,10450
2018-07-30,Beras Medium,Kg,10450
2018-07-31,Beras Medium,Kg,10500
2018-07-02,Beras Premium,Kg,13000
2018-07-03,Beras Premium,Kg,13000
2018-07-04,Beras Premium,Kg,13000
2018-07-05,Beras Premium,Kg,12750
2018-07-06,Beras Premium,Kg,12875
2018-07-09,Beras Premium,Kg,13000
2018-07-10,Beras Premium,Kg,12938
2018-07-11,Beras Premium,Kg,12750
2018-07-12,Beras Premium,Kg,12750
2018-07-13,Beras Premium,Kg,12625
2018-07-16,Beras Premium,Kg,12875
2018-07-17,Beras Premium,Kg,13000
2018-07-18,Beras Premium,Kg,13125
2018-07-19,Beras Premium,Kg,13125
2018-07-20,Beras Premium,Kg,13000
2018-07-23,Beras Premium,Kg,12875
2018-07-24,Beras Premium,Kg,12875
2018-07-25,Beras Premium,Kg,12875
2018-07-26,Beras Premium,Kg,12800
2018-07-27,Beras Premium,Kg,12550
2018-07-30,Beras Premium,Kg,12800
2018-07-31,Beras Premium,Kg,12550
2018-07-02,Gula Pasir,Kg,13010
2018-07-03,Gula Pasir,Kg,12860
2018-07-04,Gula Pasir,Kg,12710
2018-07-05,Gula Pasir,Kg,12810
2018-07-06,Gula Pasir,Kg,13060
2018-07-09,Gula Pasir,Kg,12935
2018-07-10,Gula Pasir,Kg,13010
2018-07-11,Gula Pasir,Kg,12810
2018-07-12,Gula Pasir,Kg,13060
2018-07-13,Gula Pasir,Kg,13010
2018-07-16,Gula Pasir,Kg,13310
2018-07-17,Gula Pasir,Kg,13260
2018-07-18,Gula Pasir,Kg,13210
2018-07-19,Gula Pasir,Kg,13260
2018-07-20,Gula Pasir,Kg,13460
2018-07-23,Gula Pasir,Kg,13360
2018-07-24,Gula Pasir,Kg,12960
2018-07-25,Gula Pasir,Kg,13260
2018-07-26,Gula Pasir,Kg,13300
2018-07-27,Gula Pasir,Kg,13100
2018-07-30,Gula Pasir,Kg,13300
2018-07-31,Gula Pasir,Kg,13100
2018-07-02,Minyak Goreng Bimoli Botol,Liter,13040
2018-07-03,Minyak Goreng Bimoli Botol,Liter,13840
2018-07-04,Minyak Goreng Bimoli Botol,Liter,13740
2018-07-05,Minyak Goreng Bimoli Botol,Liter,13440
2018-07-06,Minyak Goreng Bimoli Botol,Liter,13140
2018-07-09,Minyak Goreng Bimoli Botol,Liter,13440
2018-07-10,Minyak Goreng Bimoli Botol,Liter,12990
2018-07-11,Minyak Goreng Bimoli Botol,Liter,13290
2018-07-12,Minyak Goreng Bimoli Botol,Liter,13240
2018-07-13,Minyak Goreng Bimoli Botol,Liter,13340
2018-07-16,Minyak Goreng Bimoli Botol,Liter,13340
2018-07-17,Minyak Goreng Bimoli Botol,Liter,13340
2018-07-18,Minyak Goreng Bimoli Botol,Liter,13840
2018-07-19,Minyak Goreng Bimoli Botol,Liter,13240
2018-07-20,Minyak Goreng Bimoli Botol,Liter,13540
2018-07-23,Minyak Goreng Bimoli Botol,Liter,13540
2018-07-24,Minyak Goreng Bimoli Botol,Liter,13740
2018-07-25,Minyak Goreng Bimoli Botol,Liter,13540
2018-07-26,Minyak Goreng Bimoli Botol,Liter,13400
2018-07-27,Minyak Goreng Bimoli Botol,Liter,13400
2018-07-30,Minyak Goreng Bimoli Botol,Liter,13400
2018-07-31,Minyak Goreng Bimoli Botol,Liter,13600
2018-07-02,Minyak Goreng Curah,Liter,12500
2018-07-03,Minyak Goreng Curah,Liter,12600
2018-07-04,Minyak Goreng Curah,Liter,12500
2018-07-05,Minyak Goreng Curah,Liter,12500
2018-07-06,Minyak Goreng Curah,Liter,12450
2018-07-09,Minyak Goreng Curah,Liter,12550
2018-07-10,Minyak Goreng Curah,Liter,12400
2018-07-11,Minyak Goreng Curah,Liter,12400
2018-07-12,Minyak Goreng Curah,Liter,12300
