TANGGAL,KOMODITI,SATUAN,HARGA
01/03/2018,Beras Medium,Kg,11675
02/03/2018,Beras Medium,Kg,11075
05/03/2018,Beras Medium,Kg,10825
06/03/2018,Beras Medium,Kg,10660
07/03/2018,Beras Medium,Kg,10760
08/03/2018,Beras Medium,Kg,11310
09/03/2018,Beras Medium,Kg,10760
12/03/2018,Beras Medium,Kg,11160
13/03/2018,Beras Medium,Kg,10960
14/03/2018,Beras Medium,Kg,11160
15/03/2018,Beras Medium,Kg,10860
16/03/2018,Beras Medium,Kg,10760
19/03/2018,Beras Medium,Kg,10820
20/03/2018,Beras Medium,Kg,10820
21/03/2018,Beras Medium,Kg,10770
22/03/2018,Beras Medium,Kg,10730
23/03/2018,Beras Medium,Kg,10730
26/03/2018,Beras Medium,Kg,10770
27/03/2018,Beras Medium,Kg,10880
28/03/2018,Beras Medium,Kg,10940
29/03/2018,Beras Medium,Kg,10940
01/03/2018,Beras Premium,Kg,13750
02/03/2018,Beras Premium,Kg,13083
05/03/2018,Beras Premium,Kg,12633
06/03/2018,Beras Premium,Kg,12725
07/03/2018,Beras Premium,Kg,12538
08/03/2018,Beras Premium,Kg,12550
09/03/2018,Beras Premium,Kg,12363
12/03/2018,Beras Premium,Kg,13013
13/03/2018,Beras Premium,Kg,12575
14/03/2018,Beras Premium,Kg,13325
15/03/2018,Beras Premium,Kg,13325
16/03/2018,Beras Premium,Kg,13013
19/03/2018,Beras Premium,Kg,12763
20/03/2018,Beras Premium,Kg,12700
21/03/2018,Beras Premium,Kg,12700
22/03/2018,Beras Premium,Kg,12800
23/03/2018,Beras Premium,Kg,12550
26/03/2018,Beras Premium,Kg,12575
27/03/2018,Beras Premium,Kg,13025
28/03/2018,Beras Premium,Kg,13063
29/03/2018,Beras Premium,Kg,13063
01/03/2018,Gula Pasir,Kg,13840
02/03/2018,Gula Pasir,Kg,13940
05/03/2018,Gula Pasir,Kg,13450
06/03/2018,Gula Pasir,Kg,13400
07/03/2018,Gula Pasir,Kg,13600
08/03/2018,Gula Pasir,Kg,13840
09/03/2018,Gula Pasir,Kg,13690
12/03/2018,Gula Pasir,Kg,13400
13/03/2018,Gula Pasir,Kg,13500
14/03/2018,Gula Pasir,Kg,13500
15/03/2018,Gula Pasir,Kg,13500
16/03/2018,Gula Pasir,Kg,13500
19/03/2018,Gula Pasir,Kg,13540
20/03/2018,Gula Pasir,Kg,13640
21/03/2018,Gula Pasir,Kg,13340
22/03/2018,Gula Pasir,Kg,13300
23/03/2018,Gula Pasir,Kg,13300
26/03/2018,Gula Pasir,Kg,13490
27/03/2018,Gula Pasir,Kg,13410
28/03/2018,Gula Pasir,Kg,13490
29/03/2018,Gula Pasir,Kg,13340
01/03/2018,Minyak Goreng Bimoli Botol,Liter,13613
02/03/2018,Minyak Goreng Bimoli Botol,Liter,13425
05/03/2018,Minyak Goreng Bimoli Botol,Liter,13075
06/03/2018,Minyak Goreng Bimoli Botol,Liter,13513
07/03/2018,Minyak Goreng Bimoli Botol,Liter,13450
08/03/2018,Minyak Goreng Bimoli Botol,Liter,13500
09/03/2018,Minyak Goreng Bimoli Botol,Liter,12875
12/03/2018,Minyak Goreng Bimoli Botol,Liter,13375
