TANGGAL,KOMODITI,SATUAN,HARGA
02/05/2018,Beras Medium,Kg,10990
03/05/2018,Beras Medium,Kg,11250
04/05/2018,Beras Medium,Kg,11300
07/05/2018,Beras Medium,Kg,11040
08/05/2018,Beras Medium,Kg,11040
09/05/2018,Beras Medium,Kg,10940
11/05/2018,Beras Medium,Kg,10780
14/05/2018,Beras Medium,Kg,10480
15/05/2018,Beras Medium,Kg,10380
16/05/2018,Beras Medium,Kg,10720
17/05/2018,Beras Medium,Kg,11130
18/05/2018,Beras Medium,Kg,10690
21/05/2018,Beras Medium,Kg,10550
22/05/2018,Beras Medium,Kg,10600
23/05/2018,Beras Medium,Kg,10740
24/05/2018,Beras Medium,Kg,10520
25/05/2018,Beras Medium,Kg,10660
28/05/2018,Beras Medium,Kg,10660
30/05/2018,Beras Medium,Kg,10620
31/05/2018,Beras Medium,Kg,10880
02/05/2018,Beras Premium,Kg,12938
03/05/2018,Beras Premium,Kg,12750
04/05/2018,Beras Premium,Kg,12625
07/05/2018,Beras Premium,Kg,13250
08/05/2018,Beras Premium,Kg,13000
09/05/2018,Beras Premium,Kg,13000
11/05/2018,Beras Premium,Kg,13000
14/05/2018,Beras Premium,Kg,12575
15/05/2018,Beras Premium,Kg,12450
16/05/2018,Beras Premium,Kg,12825
17/05/2018,Beras Premium,Kg,12775
18/05/2018,Beras Premium,Kg,11938
21/05/2018,Beras Premium,Kg,12250
22/05/2018,Beras Premium,Kg,11875
23/05/2018,Beras Premium,Kg,12500
24/05/2018,Beras Premium,Kg,12475
25/05/2018,Beras Premium,Kg,12850
28/05/2018,Beras Premium,Kg,12725
30/05/2018,Beras Premium,Kg,12475
31/05/2018,Beras Premium,Kg,12813
02/05/2018,Gula Pasir,Kg,13010
03/05/2018,Gula Pasir,Kg,12860
04/05/2018,Gula Pasir,Kg,12860
07/05/2018,Gula Pasir,Kg,13060
08/05/2018,Gula Pasir,Kg,12960
09/05/2018,Gula Pasir,Kg,12910
11/05/2018,Gula Pasir,Kg,13260
14/05/2018,Gula Pasir,Kg,12760
15/05/2018,Gula Pasir,Kg,12760
16/05/2018,Gula Pasir,Kg,13010
17/05/2018,Gula Pasir,Kg,12710
18/05/2018,Gula Pasir,Kg,12900
21/05/2018,Gula Pasir,Kg,12660
22/05/2018,Gula Pasir,Kg,12710
23/05/2018,Gula Pasir,Kg,13160
24/05/2018,Gula Pasir,Kg,12810
25/05/2018,Gula Pasir,Kg,13060
28/05/2018,Gula Pasir,Kg,13010
30/05/2018,Gula Pasir,Kg,12860
31/05/2018,Gula Pasir,Kg,12960
02/05/2018,Minyak Goreng Bimoli Botol,Liter,13290
03/05/2018,Minyak Goreng Bimoli Botol,Liter,13240
04/05/2018,Minyak Goreng Bimoli Botol,Liter,13440
07/05/2018,Minyak Goreng Bimoli Botol,Liter,13240
08/05/2018,Minyak Goreng Bimoli Botol,Liter,13740
09/05/2018,Minyak Goreng Bimoli Botol,Liter,13540
11/05/2018,Minyak Goreng Bimoli Botol,Liter,13540
14/05/2018,Minyak Goreng Bimoli Botol,Liter,13060
15/05/2018,Minyak Goreng Bimoli Botol,Liter,13260
16/05/2018,Minyak Goreng Bimoli Botol,Liter,13460
17/05/2018,Minyak Goreng Bimoli Botol,Liter,13210
18/05/2018,Minyak Goreng Bimoli Botol,Liter,13490
21/05/2018,Minyak Goreng Bimoli Botol,Liter,13140
22/05/2018,Minyak Goreng Bimoli Botol,Liter,13490
23/05/2018,Minyak Goreng Bimoli Botol,Liter,13440
24/05/2018,Minyak Goreng Bimoli Botol,Liter,13260
25/05/2018,Minyak Goreng Bimoli Botol,Liter,13560
28/05/2018,Minyak Goreng Bimoli Botol,Liter,13460
30/05/2018,Minyak Goreng Bimoli Botol,Liter,13360
31/05/2018,Minyak Goreng Bimoli Botol,Liter,13140
02/05/2018,Minyak Goreng Curah,Liter,12600
03/05/2018,Minyak Goreng Curah,Liter,12500
04/05/2018,Minyak Goreng Curah,Liter,12300
07/05/2018,Minyak Goreng Curah,Liter,12740
08/05/2018,Minyak Goreng Curah,Liter,12300
09/05/2018,Minyak Goreng Curah,Liter,12640
11/05/2018,Minyak Goreng Curah,Liter,12340
14/05/2018,Minyak Goreng Curah,Liter,12140
15/05/2018,Minyak Goreng Curah,Liter,12290
16/05/2018,Minyak Goreng Curah,Liter,12240
17/05/2018,Minyak Goreng Curah,Liter,12240
18/05/2018,Minyak Goreng Curah,Liter,12410
21/05/2018,Minyak Goreng Curah,Liter,12400
22/05/2018,Minyak Goreng Curah,Liter,12400
23/05/2018,Minyak Goreng Curah,Liter,12700
24/05/2018,Minyak Goreng Curah,Liter,12500
25/05/2018,Minyak Goreng Curah,Liter,12500
28/05/2018,Minyak Goreng Curah,Liter,12300
30/05/2018,Minyak Goreng Curah,Liter,12400
31/05/2018,Minyak Goreng Curah,Liter,12200
02/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,117660
03/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
04/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
07/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
08/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119160
09/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119160
11/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
14/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
15/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
16/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
17/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,117660
18/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,120660
21/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
22/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
23/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
24/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119160
25/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,121660
28/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
30/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
31/05/2018,Daging Sapi, Lokal, Paha Belakang,Kg,119660
02/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,113333
03/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
04/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
07/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,121667
08/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,118333
09/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,119167
11/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
14/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
15/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
16/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
17/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,116667
18/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,121667
21/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,123333
22/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
23/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
24/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,119167
25/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,123333
28/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
30/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
31/05/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),Kg,120000
02/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,90000
03/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,80000
04/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,85000
07/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,102500
08/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,98333
09/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,81667
11/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,100000
14/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,81667
15/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,81667
16/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,100000
17/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,85000
18/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,85000
21/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,80000
22/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,80000
23/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,93333
24/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,93333
25/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,102500
28/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,98333
30/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,90000
31/05/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),Kg,83333
02/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,73333
03/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,68333
04/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,68333
07/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,66667
08/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,66667
09/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,63333
11/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,63333
14/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,68333
15/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,75000
