tanggal,bulan,tahun,komoditi,satuan,harga
1,november,2018,Beras Medium,Kg,"10,860"
2,november,2018,Beras Medium,Kg,"10,860"
5,november,2018,Beras Medium,Kg,"10,760"
6,november,2018,Beras Medium,Kg,"10,710"
7,november,2018,Beras Medium,Kg,"10,760"
8,november,2018,Beras Medium,Kg,"10,560"
9,november,2018,Beras Medium,Kg,"10,760"
12,november,2018,Beras Medium,Kg,"10,860"
13,november,2018,Beras Medium,Kg,"10,540"
14,november,2018,Beras Medium,Kg,"10,490"
15,november,2018,Beras Medium,Kg,"10,690"
16,november,2018,Beras Medium,Kg,"10,640"
19,november,2018,Beras Medium,Kg,"10,640"
21,november,2018,Beras Medium,Kg,"10,640"
22,november,2018,Beras Medium,Kg,"10,590"
23,november,2018,Beras Medium,Kg,"10,540"
26,november,2018,Beras Medium,Kg,"10,590"
27,november,2018,Beras Medium,Kg,"10,540"
28,november,2018,Beras Medium,Kg,"10,690"
29,november,2018,Beras Medium,Kg,"10,640"
30,november,2018,Beras Medium,Kg,"10,590"
1,november,2018,Beras Premium,Kg,"12,875"
2,november,2018,Beras Premium,Kg,"12,875"
5,november,2018,Beras Premium,Kg,"13,000"
6,november,2018,Beras Premium,Kg,"12,875"
7,november,2018,Beras Premium,Kg,"13,063"
8,november,2018,Beras Premium,Kg,"12,750"
9,november,2018,Beras Premium,Kg,"13,000"
12,november,2018,Beras Premium,Kg,"13,000"
13,november,2018,Beras Premium,Kg,"12,700"
14,november,2018,Beras Premium,Kg,"12,575"
15,november,2018,Beras Premium,Kg,"12,825"
16,november,2018,Beras Premium,Kg,"12,825"
19,november,2018,Beras Premium,Kg,"12,825"
21,november,2018,Beras Premium,Kg,"12,825"
22,november,2018,Beras Premium,Kg,"12,763"
23,november,2018,Beras Premium,Kg,"12,388"
26,november,2018,Beras Premium,Kg,"12,513"
27,november,2018,Beras Premium,Kg,"12,575"
28,november,2018,Beras Premium,Kg,"12,950"
29,november,2018,Beras Premium,Kg,"12,825"
30,november,2018,Beras Premium,Kg,"12,638"
1,november,2018,Gula Pasir,Kg,"12,360"
2,november,2018,Gula Pasir,Kg,"12,360"
5,november,2018,Gula Pasir,Kg,"12,260"
6,november,2018,Gula Pasir,Kg,"12,360"
7,november,2018,Gula Pasir,Kg,"12,460"
8,november,2018,Gula Pasir,Kg,"12,460"
9,november,2018,Gula Pasir,Kg,"12,960"
12,november,2018,Gula Pasir,Kg,"13,060"
13,november,2018,Gula Pasir,Kg,"12,440"
14,november,2018,Gula Pasir,Kg,"12,890"
15,november,2018,Gula Pasir,Kg,"12,810"
16,november,2018,Gula Pasir,Kg,"12,560"
19,november,2018,Gula Pasir,Kg,"12,660"
21,november,2018,Gula Pasir,Kg,"12,610"
22,november,2018,Gula Pasir,Kg,"12,500"
23,november,2018,Gula Pasir,Kg,"12,650"
26,november,2018,Gula Pasir,Kg,"12,650"
27,november,2018,Gula Pasir,Kg,"12,600"
28,november,2018,Gula Pasir,Kg,"12,800"
29,november,2018,Gula Pasir,Kg,"12,550"
30,november,2018,Gula Pasir,Kg,"12,650"
1,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,200"
2,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,200"
5,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,300"
6,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,200"
7,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,400"
8,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,200"
9,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,500"
12,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,100"
13,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,310"
14,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,460"
15,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,740"
16,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,540"
19,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,640"
21,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,740"
22,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,640"
23,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,340"
26,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,440"
27,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,340"
28,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,540"
29,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,640"
30,november,2018,Minyak Goreng Bimoli Botol,Liter,"13,240"
1,november,2018,Minyak Goreng Curah,Liter,"12,000"
2,november,2018,Minyak Goreng Curah,Liter,"12,000"
5,november,2018,Minyak Goreng Curah,Liter,"11,800"
6,november,2018,Minyak Goreng Curah,Liter,"11,800"
7,november,2018,Minyak Goreng Curah,Liter,"12,000"
8,november,2018,Minyak Goreng Curah,Liter,"11,700"
9,november,2018,Minyak Goreng Curah,Liter,"12,000"
12,november,2018,Minyak Goreng Curah,Liter,"11,700"
13,november,2018,Minyak Goreng Curah,Liter,"11,950"
14,november,2018,Minyak Goreng Curah,Liter,"11,800"
15,november,2018,Minyak Goreng Curah,Liter,"11,960"
16,november,2018,Minyak Goreng Curah,Liter,"11,560"
19,november,2018,Minyak Goreng Curah,Liter,"11,960"
21,november,2018,Minyak Goreng Curah,Liter,"12,060"
22,november,2018,Minyak Goreng Curah,Liter,"12,110"
23,november,2018,Minyak Goreng Curah,Liter,"11,760"
26,november,2018,Minyak Goreng Curah,Liter,"12,010"
27,november,2018,Minyak Goreng Curah,Liter,"11,860"
28,november,2018,Minyak Goreng Curah,Liter,"12,010"
29,november,2018,Minyak Goreng Curah,Liter,"12,060"
30,november,2018,Minyak Goreng Curah,Liter,"11,760"
1,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,660"
2,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,660"
5,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,660"
6,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,160"
7,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"119,660"
8,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"117,660"
9,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,660"
12,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,660"
13,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"120,000"
14,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"120,000"
15,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"117,160"
16,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,660"
19,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,160"
21,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,660"
22,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"118,500"
23,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"119,000"
26,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"119,000"
27,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"119,000"
