tanggal ,komoditi,satuan,harga
2018-10-01,Beras Medium,Kg,10740
2018-10-02,Beras Medium,Kg,10740
2018-10-03,Beras Medium,Kg,10690
2018-10-04,Beras Medium,Kg,10640
2018-10-05,Beras Medium,Kg,10540
2018-10-08,Beras Medium,Kg,10540
2018-10-09,Beras Medium,Kg,10540
2018-10-10,Beras Medium,Kg,10740
2018-10-11,Beras Medium,Kg,10940
2018-10-12,Beras Medium,Kg,10740
2018-10-15,Beras Medium,Kg,10990
2018-10-16,Beras Medium,Kg,10440
2018-10-17,Beras Medium,Kg,10640
2018-10-18,Beras Medium,Kg,10640
2018-10-19,Beras Medium,Kg,10740
2018-10-22,Beras Medium,Kg,10740
2018-10-23,Beras Medium,Kg,10690
2018-10-24,Beras Medium,Kg,10740
2018-10-25,Beras Medium,Kg,10540
2018-10-26,Beras Medium,Kg,10440
2018-10-29,Beras Medium,Kg,10490
2018-10-30,Beras Medium,Kg,10860
2018-10-31,Beras Medium,Kg,10760
2018-10-01,Beras Premium,Kg,12450
2018-10-02,Beras Premium,Kg,12575
2018-10-03,Beras Premium,Kg,12450
2018-10-04,Beras Premium,Kg,12450
2018-10-05,Beras Premium,Kg,12825
2018-10-08,Beras Premium,Kg,12575
2018-10-09,Beras Premium,Kg,12888
2018-10-10,Beras Premium,Kg,12575
2018-10-11,Beras Premium,Kg,12575
2018-10-12,Beras Premium,Kg,12575
2018-10-15,Beras Premium,Kg,12575
2018-10-16,Beras Premium,Kg,12450
2018-10-17,Beras Premium,Kg,12575
2018-10-18,Beras Premium,Kg,10060
2018-10-19,Beras Premium,Kg,12575
2018-10-22,Beras Premium,Kg,12575
2018-10-23,Beras Premium,Kg,12450
2018-10-24,Beras Premium,Kg,12575
2018-10-25,Beras Premium,Kg,12575
2018-10-26,Beras Premium,Kg,12450
2018-10-29,Beras Premium,Kg,12513
2018-10-30,Beras Premium,Kg,13000
2018-10-31,Beras Premium,Kg,12750
2018-10-01,Gula Pasir,Kg,12460
2018-10-02,Gula Pasir,Kg,12710
2018-10-03,Gula Pasir,Kg,12610
2018-10-04,Gula Pasir,Kg,12660
2018-10-05,Gula Pasir,Kg,12960
2018-10-08,Gula Pasir,Kg,12810
2018-10-09,Gula Pasir,Kg,12860
2018-10-10,Gula Pasir,Kg,12860
2018-10-11,Gula Pasir,Kg,12610
2018-10-12,Gula Pasir,Kg,12760
2018-10-15,Gula Pasir,Kg,12460
2018-10-16,Gula Pasir,Kg,12810
2018-10-17,Gula Pasir,Kg,12510
2018-10-18,Gula Pasir,Kg,12260
2018-10-19,Gula Pasir,Kg,12660
2018-10-22,Gula Pasir,Kg,12810
2018-10-23,Gula Pasir,Kg,12810
2018-10-24,Gula Pasir,Kg,12860
2018-10-25,Gula Pasir,Kg,12860
2018-10-26,Gula Pasir,Kg,12760
2018-10-29,Gula Pasir,Kg,12510
2018-10-30,Gula Pasir,Kg,12460
2018-10-31,Gula Pasir,Kg,12660
2018-10-01,Minyak Goreng Bimoli Botol,Liter,13300
2018-10-02,Minyak Goreng Bimoli Botol,Liter,13400
2018-10-03,Minyak Goreng Bimoli Botol,Liter,13350
2018-10-04,Minyak Goreng Bimoli Botol,Liter,13300
2018-10-05,Minyak Goreng Bimoli Botol,Liter,13450
2018-10-08,Minyak Goreng Bimoli Botol,Liter,13100
2018-10-09,Minyak Goreng Bimoli Botol,Liter,13500
2018-10-10,Minyak Goreng Bimoli Botol,Liter,13000
2018-10-11,Minyak Goreng Bimoli Botol,Liter,13500
2018-10-12,Minyak Goreng Bimoli Botol,Liter,12900
2018-10-15,Minyak Goreng Bimoli Botol,Liter,13100
2018-10-16,Minyak Goreng Bimoli Botol,Liter,13200
2018-10-17,Minyak Goreng Bimoli Botol,Liter,13400
2018-10-18,Minyak Goreng Bimoli Botol,Liter,13200
2018-10-19,Minyak Goreng Bimoli Botol,Liter,13000
2018-10-22,Minyak Goreng Bimoli Botol,Liter,13100
2018-10-23,Minyak Goreng Bimoli Botol,Liter,12900
2018-10-24,Minyak Goreng Bimoli Botol,Liter,13100
2018-10-25,Minyak Goreng Bimoli Botol,Liter,13600
2018-10-26,Minyak Goreng Bimoli Botol,Liter,13500
2018-10-29,Minyak Goreng Bimoli Botol,Liter,13300
2018-10-30,Minyak Goreng Bimoli Botol,Liter,13300
2018-10-31,Minyak Goreng Bimoli Botol,Liter,13250
2018-10-01,Minyak Goreng Curah,Liter,12200
2018-10-02,Minyak Goreng Curah,Liter,12200
