tanggal,komoditi,satuan,harga
2018-09-03,Beras Medium,Kg,10840
2018-09-04,Beras Medium,Kg,10840
2018-09-05,Beras Medium,Kg,10540
2018-09-06,Beras Medium,Kg,10540
2018-09-07,Beras Medium,Kg,10640
2018-09-10,Beras Medium,Kg,10640
2018-09-12,Beras Medium,Kg,10640
2018-09-13,Beras Medium,Kg,10540
2018-09-14,Beras Medium,Kg,10640
2018-09-17,Beras Medium,Kg,10840
2018-09-18,Beras Medium,Kg,10640
2018-09-19,Beras Medium,Kg,10540
2018-09-20,Beras Medium,Kg,10840
2018-09-21,Beras Medium,Kg,10740
2018-09-24,Beras Medium,Kg,10840
2018-09-25,Beras Medium,Kg,10640
2018-09-26,Beras Medium,Kg,10790
2018-09-27,Beras Medium,Kg,10490
2018-09-28,Beras Medium,Kg,10640
2018-09-03,Beras Premium,Kg,12575
2018-09-04,Beras Premium,Kg,12575
2018-09-05,Beras Premium,Kg,12450
2018-09-06,Beras Premium,Kg,12388
2018-09-07,Beras Premium,Kg,12575
2018-09-10,Beras Premium,Kg,12825
2018-09-12,Beras Premium,Kg,12888
2018-09-13,Beras Premium,Kg,12513
2018-09-14,Beras Premium,Kg,12575
2018-09-17,Beras Premium,Kg,12575
2018-09-18,Beras Premium,Kg,12513
2018-09-19,Beras Premium,Kg,12450
2018-09-20,Beras Premium,Kg,12450
2018-09-21,Beras Premium,Kg,12200
2018-09-24,Beras Premium,Kg,12450
2018-09-25,Beras Premium,Kg,12700
2018-09-26,Beras Premium,Kg,12325
2018-09-27,Beras Premium,Kg,12700
2018-09-28,Beras Premium,Kg,12200
2018-09-03,Gula Pasir,Kg,12710
2018-09-04,Gula Pasir,Kg,12610
2018-09-05,Gula Pasir,Kg,12760
2018-09-06,Gula Pasir,Kg,12910
2018-09-07,Gula Pasir,Kg,12760
2018-09-10,Gula Pasir,Kg,12860
2018-09-12,Gula Pasir,Kg,12860
2018-09-13,Gula Pasir,Kg,12760
2018-09-14,Gula Pasir,Kg,12810
2018-09-17,Gula Pasir,Kg,12560
2018-09-18,Gula Pasir,Kg,12860
2018-09-19,Gula Pasir,Kg,13060
2018-09-20,Gula Pasir,Kg,12710
2018-09-21,Gula Pasir,Kg,12610
2018-09-24,Gula Pasir,Kg,12660
2018-09-25,Gula Pasir,Kg,12960
2018-09-26,Gula Pasir,Kg,12410
2018-09-27,Gula Pasir,Kg,12310
2018-09-28,Gula Pasir,Kg,12360
2018-09-03,Minyak Goreng Bimoli Botol,Liter,13200
2018-09-04,Minyak Goreng Bimoli Botol,Liter,13150
2018-09-05,Minyak Goreng Bimoli Botol,Liter,13100
2018-09-06,Minyak Goreng Bimoli Botol,Liter,13000
2018-09-07,Minyak Goreng Bimoli Botol,Liter,13100
2018-09-10,Minyak Goreng Bimoli Botol,Liter,13700
2018-09-12,Minyak Goreng Bimoli Botol,Liter,13800
2018-09-13,Minyak Goreng Bimoli Botol,Liter,13200
2018-09-14,Minyak Goreng Bimoli Botol,Liter,13100
2018-09-17,Minyak Goreng Bimoli Botol,Liter,13300
2018-09-18,Minyak Goreng Bimoli Botol,Liter,12900
2018-09-19,Minyak Goreng Bimoli Botol,Liter,13000
2018-09-20,Minyak Goreng Bimoli Botol,Liter,13200
2018-09-21,Minyak Goreng Bimoli Botol,Liter,13250
2018-09-24,Minyak Goreng Bimoli Botol,Liter,13300
2018-09-25,Minyak Goreng Bimoli Botol,Liter,13400
2018-09-26,Minyak Goreng Bimoli Botol,Liter,13200
2018-09-27,Minyak Goreng Bimoli Botol,Liter,13200
2018-09-28,Minyak Goreng Bimoli Botol,Liter,13200
2018-09-03,Minyak Goreng Curah,Liter,12400
2018-09-04,Minyak Goreng Curah,Liter,12300
2018-09-05,Minyak Goreng Curah,Liter,12200
2018-09-06,Minyak Goreng Curah,Liter,12300
2018-09-07,Minyak Goreng Curah,Liter,12100
2018-09-10,Minyak Goreng Curah,Liter,12550
2018-09-12,Minyak Goreng Curah,Liter,12800
2018-09-13,Minyak Goreng Curah,Liter,12350
2018-09-14,Minyak Goreng Curah,Liter,12400
2018-09-17,Minyak Goreng Curah,Liter,12500
2018-09-18,Minyak Goreng Curah,Liter,12350
2018-09-19,Minyak Goreng Curah,Liter,12200
2018-09-20,Minyak Goreng Curah,Liter,12400
2018-09-21,Minyak Goreng Curah,Liter,12200
