tanggal,komoditi,satuan,harga
2018-01-02,Beras,,11340
2018-01-02,Gula Pasir,,13740
2018-01-02,Minyak Goreng Bimoli Botol,,14040
2018-01-02,Minyak Goreng Curah,,12388
2018-01-02,Ayam Boiler,,39740
2018-01-02,Ayam Kampung,,55075
2018-01-02,Telur Ayam Ras,,26150
2018-01-02,Telur Ayam Kampung,,2100
2018-01-02,Susu Kental Manis Kaleng Merk Bendera,,12340
2018-01-02,Susu Kental Manis Kaleng Merk Indomilk,,10300
2018-01-02,Susu Bubuk Kaleng Merk Bendera,,43667
2018-01-02,Susu Bubuk Kaleng Merk Indomilk,,42000
2018-01-02,Jagung Pipilan Kecil,,16833
2018-01-02,Garam Beryodium Bata,,3220
2018-01-02,Garam Beryodium Halus,,11260
2018-01-02,Tepung Terigu Segitiga Biru,,10160
2018-01-02,Kacang Kedelai Eks impor,,12300
2018-01-02,Kacang Kedelai Lokal,,3333
2018-01-02,Mie Instan Indomie Rasa Kari Ayam,,2740
2018-01-02,Cabe Merah Keriting,,37140
2018-01-02,Cabe Merah Besar,,37260
2018-01-02,Cabe Rawit Merah,,56240
2018-01-02,Cabe Rawit Hijau,,34800
2018-01-02,Bawang Merah (Medium),,26800
2018-01-02,Bawang Putih Impor (Kating),,28560
2018-01-02,Bawang Putih Impor (Honan),,25000
2018-01-02,Ikan Teri Asin,,109400
2018-01-02,Ikan Kembung,,36660
2018-01-02,Kacang Hijau,,22340
2018-01-02,Kacang Tanah,,25500
2018-01-02,Ketela Pohon,,5060
2018-01-03,Beras,,11440
2018-01-03,Gula Pasir,,13840
2018-01-03,Minyak Goreng Bimoli Botol,,14240
2018-01-03,Minyak Goreng Curah,,12450
2018-01-03,Ayam Boiler,,38940
2018-01-03,Ayam Kampung,,55075
2018-01-03,Telur Ayam Ras,,26200
2018-01-03,Telur Ayam Kampung,,2150
2018-01-03,Susu Kental Manis Kaleng Merk Bendera,,12240
2018-01-03,Susu Kental Manis Kaleng Merk Indomilk,,10400
2018-01-03,Susu Bubuk Kaleng Merk Bendera,,43667
2018-01-03,Susu Bubuk Kaleng Merk Indomilk,,42000
2018-01-03,Jagung Pipilan Kecil,,16833
2018-01-03,Garam Beryodium Bata,,3320
2018-01-03,Garam Beryodium Halus,,10660
2018-01-03,Tepung Terigu Segitiga Biru,,10360
2018-01-03,Kacang Kedelai Eks impor,,12300
2018-01-03,Kacang Kedelai Lokal,,3333
2018-01-03,Mie Instan Indomie Rasa Kari Ayam,,2740
2018-01-03,Cabe Merah Keriting,,38640
2018-01-03,Cabe Merah Besar,,37260
2018-01-03,Cabe Rawit Merah,,58240
2018-01-03,Cabe Rawit Hijau,,35300
2018-01-03,Bawang Merah (Medium),,27800
2018-01-03,Bawang Putih Impor (Kating),,30260
2018-01-03,Bawang Putih Impor (Honan),,25000
2018-01-03,Ikan Teri Asin,,108400
2018-01-03,Ikan Kembung,,35660
2018-01-03,Kacang Hijau,,22540
2018-01-03,Kacang Tanah,,25700
2018-01-03,Ketela Pohon,,5060
2018-01-04,Beras,,11490
2018-01-04,Gula Pasir,,13390
2018-01-04,Minyak Goreng Bimoli Botol,,14240
2018-01-04,Minyak Goreng Curah,,12575
2018-01-04,Ayam Boiler,,37440
2018-01-04,Ayam Kampung,,53825
2018-01-04,Telur Ayam Ras,,26300
2018-01-04,Telur Ayam Kampung,,2100
2018-01-04,Susu Kental Manis Kaleng Merk Bendera,,11940
2018-01-04,Susu Kental Manis Kaleng Merk Indomilk,,10600
2018-01-04,Susu Bubuk Kaleng Merk Bendera,,43667
2018-01-04,Susu Bubuk Kaleng Merk Indomilk,,42000
2018-01-04,Jagung Pipilan Kecil,,16833
2018-01-04,Garam Beryodium Bata,,3000
2018-01-04,Garam Beryodium Halus,,13060
2018-01-04,Tepung Terigu Segitiga Biru,,9860
2018-01-04,Kacang Kedelai Eks impor,,12050
2018-01-04,Kacang Kedelai Lokal,,3333
2018-01-04,Mie Instan Indomie Rasa Kari Ayam,,2740
2018-01-04,Cabe Merah Keriting,,39340
2018-01-04,Cabe Merah Besar,,39260
2018-01-04,Cabe Rawit Merah,,61140
2018-01-04,Cabe Rawit Hijau,,41400
2018-01-04,Bawang Merah (Medium),,28400
2018-01-04,Bawang Putih Impor (Kating),,28660
2018-01-04,Bawang Putih Impor (Honan),,27500
2018-01-04,Ikan Teri Asin,,106000
2018-01-04,Ikan Kembung,,35860
2018-01-04,Kacang Hijau,,22540
2018-01-04,Kacang Tanah,,25600
2018-01-04,Ketela Pohon,,5060
2018-01-05,Beras,,11740
2018-01-05,Gula Pasir,,13640
2018-01-05,Minyak Goreng Bimoli Botol,,14040
2018-01-05,Minyak Goreng Curah,,12200
2018-01-05,Ayam Boiler,,36940
2018-01-05,Ayam Kampung,,78825
2018-01-05,Telur Ayam Ras,,26450
2018-01-05,Telur Ayam Kampung,,2120
2018-01-05,Susu Kental Manis Kaleng Merk Bendera,,11940
2018-01-05,Susu Kental Manis Kaleng Merk Indomilk,,10300
2018-01-05,Susu Bubuk Kaleng Merk Bendera,,43667
2018-01-05,Susu Bubuk Kaleng Merk Indomilk,,42000
2018-01-05,Jagung Pipilan Kecil,,15167
2018-01-05,Garam Beryodium Bata,,3100
2018-01-05,Garam Beryodium Halus,,11260
2018-01-05,Tepung Terigu Segitiga Biru,,9610
2018-01-05,Kacang Kedelai Eks impor,,12800
2018-01-05,Kacang Kedelai Lokal,,3333
2018-01-05,Mie Instan Indomie Rasa Kari Ayam,,2800
2018-01-05,Cabe Merah Keriting,,42340
2018-01-05,Cabe Merah Besar,,40260
2018-01-05,Cabe Rawit Merah,,57340
2018-01-05,Cabe Rawit Hijau,,40400
2018-01-05,Bawang Merah (Medium),,27900
2018-01-05,Bawang Putih Impor (Kating),,28960
2018-01-05,Bawang Putih Impor (Honan),,27500
2018-01-05,Ikan Teri Asin,,102000
2018-01-05,Ikan Kembung,,35360
2018-01-05,Kacang Hijau,,23200
2018-01-05,Kacang Tanah,,25700
2018-01-05,Ketela Pohon,,4960
2018-01-08,Beras,,11740
2018-01-08,Gula Pasir,,13640
2018-01-08,Minyak Goreng Bimoli Botol,,13440
2018-01-08,Minyak Goreng Curah,,12200
2018-01-08,Ayam Boiler,,36940
2018-01-08,Ayam Kampung,,77575
2018-01-08,Telur Ayam Ras,,26450
2018-01-08,Telur Ayam Kampung,,2120
2018-01-08,Susu Kental Manis Kaleng Merk Bendera,,11940
2018-01-08,Susu Kental Manis Kaleng Merk Indomilk,,10300
2018-01-08,Susu Bubuk Kaleng Merk Bendera,,43667
2018-01-08,Susu Bubuk Kaleng Merk Indomilk,,42000
2018-01-08,Jagung Pipilan Kecil,,15167
2018-01-08,Garam Beryodium Bata,,3120
2018-01-08,Garam Beryodium Halus,,11460
2018-01-08,Tepung Terigu Segitiga Biru,,9610
2018-01-08,Kacang Kedelai Eks impor,,12800
2018-01-08,Kacang Kedelai Lokal,,3333
2018-01-08,Mie Instan Indomie Rasa Kari Ayam,,2400
2018-01-08,Cabe Merah Keriting,,42340
2018-01-08,Cabe Merah Besar,,40260
2018-01-08,Cabe Rawit Merah,,57340
2018-01-08,Cabe Rawit Hijau,,40400
2018-01-08,Bawang Merah (Medium),,27900
2018-01-08,Bawang Putih Impor (Kating),,28960
2018-01-08,Bawang Putih Impor (Honan),,27500
2018-01-08,Ikan Teri Asin,,102000
2018-01-08,Ikan Kembung,,35360
2018-01-08,Kacang Hijau,,23200
